crew_id,name,role,hire_date,base_airport_id
C001,Kristy Ball,Cabin Crew,2017-02-22,AID004
C002,Jason Perez,Captain,2019-10-22,AID015
C003,Cynthia Leonard,Cabin Crew,2013-06-09,AID005
C004,Elaine Sparks,Captain,2019-01-14,AID003
C005,Chloe Alexander DVM,Cabin Crew,2019-12-28,AID015
C006,Nicole Ramirez,Cabin Crew,2012-05-23,AID015
C007,Jessica Ho,Captain,2019-07-10,AID005
C008,Jeanne Simmons,Captain,2018-03-15,AID010
C009,Angela Foster,Cabin Crew,2015-03-09,AID009
C010,Warren Nelson,Cabin Crew,2010-10-25,AID004
C011,Thomas Andrews,Captain,2015-08-01,AID013
C012,Theresa Ramos,Captain,2020-11-17,AID002
C013,Jeremy Petty,First Officer,2016-04-01,AID007
C014,Joseph Powell,Captain,2012-09-24,AID011
C015,Keith Rogers,First Officer,2010-08-28,AID004
C016,Jordan Blair,Captain,2015-12-18,AID015
C017,Patricia Bolton,Cabin Crew,2017-09-10,AID002
C018,Larry Vasquez,Captain,2016-02-03,AID009
C019,Michael Lambert,Cabin Crew,2019-06-24,AID003
C020,Julia Leonard,Captain,2018-02-23,AID012
C021,Melissa Perez,Cabin Crew,2018-01-24,AID013
C022,Scott Lawrence,First Officer,2011-03-18,AID002
C023,Tyler Mcknight,First Officer,2012-11-03,AID010
C024,Sandra Spence,First Officer,2015-08-11,AID009
C025,Michelle Berry,First Officer,2022-03-10,AID014
C026,Drew Lopez,Captain,2017-03-01,AID005
C027,Suzanne Hill,Cabin Crew,2013-08-27,AID015
C028,Ricardo Bell,Cabin Crew,2013-03-05,AID009
C029,Thomas Tyler,First Officer,2012-08-13,AID005
C030,Angela Barron,Captain,2022-06-02,AID001
C031,Christopher Ingram,Cabin Crew,2021-09-05,AID010
C032,Sandra Jimenez,Cabin Crew,2013-03-26,AID004
C033,Nicholas Arias,First Officer,2016-09-26,AID005
C034,Edward Coleman,Cabin Crew,2017-02-27,AID014
C035,Kenneth Ramsey,Cabin Crew,2022-08-15,AID007
C036,Samantha Love,Cabin Crew,2012-03-13,AID003
C037,Monique Shaffer,Cabin Crew,2019-08-21,AID001
C038,Casey Davis,Captain,2013-08-14,AID005
C039,Stephen Davis,First Officer,2017-02-14,AID013
C040,Gary Barton,Captain,2012-12-14,AID011
C041,Joel Mcintyre,Cabin Crew,2011-11-02,AID013
C042,Dustin Browning,First Officer,2021-12-25,AID003
C043,Courtney Taylor,Cabin Crew,2012-08-09,AID002
C044,Brianna Foster,First Officer,2018-05-28,AID002
C045,Hannah Brown,Cabin Crew,2015-04-21,AID012
C046,Leah Taylor,Captain,2015-04-20,AID007
C047,Joshua Roberts,Cabin Crew,2020-06-12,AID005
C048,Ronald Parsons,Cabin Crew,2021-07-09,AID014
C049,Carl Morales,Captain,2022-11-09,AID009
C050,Mary Cowan,Cabin Crew,2017-01-23,AID013
C051,Mr. Brian Avila,Captain,2014-05-05,AID003
C052,Melissa Beck DDS,First Officer,2022-12-14,AID010
C053,Nancy Rowe,Cabin Crew,2015-06-06,AID001
C054,Jeremy Garcia,First Officer,2016-01-23,AID001
C055,Vanessa Davis,Captain,2017-07-16,AID007
C056,Nicolas Rivera,Cabin Crew,2013-04-07,AID012
C057,Jennifer Ward,Cabin Crew,2011-11-23,AID006
C058,Richard Scott,First Officer,2012-09-01,AID010
C059,Dawn Ford,Cabin Crew,2019-05-21,AID010
C060,Elizabeth Taylor,First Officer,2015-12-26,AID006
C061,Jessica Huff,Captain,2012-08-21,AID006
C062,George Brown,Cabin Crew,2021-10-18,AID008
C063,Anthony James,Cabin Crew,2018-03-23,AID007
C064,Stephen Calhoun,Cabin Crew,2020-03-20,AID002
C065,Andrea Terry,Cabin Crew,2013-12-08,AID009
C066,Adrian Kline,Cabin Crew,2019-12-05,AID014
C067,Kevin Hardy,First Officer,2010-01-27,AID005
C068,Tyler Harrison,Cabin Crew,2013-02-02,AID010
C069,Michelle Ferguson,Cabin Crew,2014-11-14,AID015
C070,Melissa Fleming,First Officer,2021-10-27,AID005
C071,Wendy Bray,Cabin Crew,2010-06-25,AID001
C072,Kristina Guzman,Captain,2013-05-17,AID003
C073,Tiffany Johnson,Cabin Crew,2022-12-16,AID001
C074,Danielle Buck,First Officer,2021-10-25,AID012
C075,David Contreras,First Officer,2013-01-09,AID013
C076,Linda Hardin,First Officer,2018-09-25,AID004
C077,Scott Ward,Cabin Crew,2014-11-27,AID006
C078,Dustin Wiley,Cabin Crew,2019-03-22,AID001
C079,Nicholas Johnson,Cabin Crew,2017-02-12,AID014
C080,Pamela Harris,Cabin Crew,2011-08-15,AID006
