engineer_id|name|certification_level|hire_date
E001|Kristy Ball|Senior|2015-08-17
E002|Jason Perez|Junior|2022-07-25
E003|Cynthia Leonard|Lead|2016-08-22
E004|Elaine Sparks|Senior|2018-07-21
E005|Chloe Alexander DVM|Junior|2012-10-25
E006|Nicole Ramirez|Senior|2018-04-14
E007|Jessica Ho|Junior|2016-09-03
E008|Jeanne Simmons|Junior|2012-07-15
E009|Angela Foster|Junior|2015-10-09
E010|Warren Nelson|Senior|2022-03-14
E011|Thomas Andrews|Junior|2015-10-24
E012|Theresa Ramos|Senior|2019-12-01
E013|Jeremy Petty|Lead|2019-08-10
E014|Joseph Powell|Senior|2019-12-18
E015|Keith Rogers|Lead|2019-07-23
